,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
1,Saltwater intrusion in estuaries with different dynamic depths,"Guerra-Chanis, G.E.; Laurel-Castillo, J.A.; Schettini, C.A.F.; Kakoulaki, G.; Souza, A.J.; Valle-Levinson, A.","Sea-level rise threatens to increase saltwater intrusion in low-lying coastal communities worldwide. In addition, changing patterns of evaporation and precipitation are expected to modify the lengths of saltwater intrusion in estuaries. This study aims to define the length of saltwater intrusion among distinct estuaries with contrasting responses to variations in river discharge and water level. A Markov-chain Monte Carlo model was used as a supervised machine learning of the relationship among saltwater intrusion length, river discharge, water level, wind velocity and pluvial precipitation in three estuaries The supervised learning provided a relationship to project saltwater intrusion for different climatic conditions in the estuaries. The length of saltwater intrusion and river discharge were proportional for the dynamically deep Dee River estuary (UK) and Capibaribe River estuary (Brazil). Increased river discharge in those two estuaries was followed by increased limit of saltwater intrusion. For these two cases, however, it is hypothesized that beyond a threshold of river discharge, both estuaries will show a decreased saltwater intrusion with increased river discharge and transition to dynamically shallow estuaries. The dynamically shallow St. Johns River estuary (USA) had the typically expected response of decreased saltwater intrusion after increases in river discharge. © 2022 Elsevier B.V.",2022,,Reg. Stud. Mar. Sci.,51,,,,10.1016/j.rsma.2022.102186,,#15186,Guerra-Chanis 2022,,
2,Comprehensive Hydrodynamic Fitness of an Estuary Channel and the Effects of a Water Diversion Inflow,"He, W.; Jiang, A.; Zhang, J.; Xu, H.; Xiao, Y.; Chen, S.; Yu, X.","The hydrodynamic conditions of estuary channels are crucial to water exchanges, saltwater intrusions, and sediment movements. A comprehensive hydrodynamic study considering above multi-environmental impacts is imperative for the evaluation of local hydrodynamic strengths and the effects of water diversion projects. Aiming at this, this paper has proposed a comprehensive hydrodynamic fitness (CHF) framework, including the setup of numerical model, the calculation of the satisfactory percentage of a single index (SPSI), and the determination of the CHF. A hydrodynamic-dye-salinity-sediment model based on the finite-volume coastal ocean model (FVCOM) is built to elaborate the CHF using a case study of the Rongjiang River Estuary (RRE), and the effects of a freshwater inflow of 20 m3/s from a water diversion project on the CHF are revealed. The results show that the average turnover time, water salinity, and sediment deposition are 7.10 days, 9.39‰, and − 0.006 m, respectively, for the whole estuary channel in a normal year, and their SPSIs are 34.9%, 57.5%, and 69.4%, respectively. The CHFs are 55.8%, 73.9%, and 35.2% for normal, wet, and dry years, respectively, and these values can increase to 64.0%, 81.3%, and 43.5% with water diversion inflow. As sea level rises by 0.175 m, the CHF decreases from 55.8 to 52.9%, and can increase to 60.4% with water diversion inflow. The effects of the water diversion inflow on the CHF should not be linearly judged by the increase in freshwater runoff. The CHF framework can be extended to lagoons, bays, and reservoirs to support water resource management. Graphical abstract: [Figure not available: see fulltext.]. © 2021, Coastal and Estuarine Research Federation.",2022,,Estuar. Coasts,45,2,382-392,,10.1007/s12237-021-00981-8,,#15187,He 2022,,
3,Effects of Future Increases in Tidal Flooding on Salinity and Groundwater Dynamics in Coastal Aquifers,"Heiss, J.W.; Mase, B.; Shen, C.","Future increases in the frequency of tidal flooding due to sea level rise (SLR) are likely to affect pore water salinities in coastal aquifers. In this study, we investigate the impact of increased tidal flooding frequency on salinity and flow dynamics in coastal aquifers using numerical variable-density variably-saturated groundwater flow and salt transport models. Short (sub-daily) and long (decadal) period tides are combined with SLR projections to drive continuous 80-year models of flow and salt transport. Results show that encroaching intertidal zones lead to both periodic and long-term vertical salinization of the upper aquifer. Salinization of the upper aquifer due to tidal flooding forces the lower interface seaward, even under SLR. System dynamics are controlled by the interplay between SLR and long period tidal forcing associated with perigean spring tides and the 18.6-year lunar nodal cycle. Periodic tidal flooding substantially enhances intertidal saltwater-freshwater mixing, resulting in a 6- to 10-fold expansion of the intertidal saltwater-freshwater mixing area across SLR scenarios. The onset of the expansion coincides with extreme high water levels resulting from lunar nodal cycling of tidal constituent amplitudes. The findings are the first to demonstrate the combined effects of gradual SLR and short and long period tides on aquifer salinity distributions, and reveal competing influences of SLR on saltwater intrusion. The results are likely to have important implications for coastal ocean chemical fluxes and groundwater resources as tidal flooding intensifies worldwide. © 2022. The Authors.",2022,,Water Resour. Res.,58,12,,,10.1029/2022WR033195,,#15189,Heiss 2022,,
10,Saltwater Intrusion Intensifies Coastal Permafrost Thaw,"Guimond, J.A.; Mohammed, A.A.; Walvoord, M.A.; Bense, V.F.; Kurylyk, B.L.","Surface effects of sea-level rise (SLR) in permafrost regions are obvious where increasingly iceless seas erode and inundate coastlines. SLR also drives saltwater intrusion, but subsurface impacts on permafrost-bound coastlines are unseen and unclear due to limited field data and the absence of models that include salinity-dependent groundwater flow with solute exclusion and freeze-thaw dynamics. Here, we develop a numerical model with the aforementioned processes to investigate climate change impacts on coastal permafrost. We find that SLR drives lateral permafrost thaw due to depressed freezing temperatures from saltwater intrusion, whereas warming drives top-down thaw. Under high SLR and low warming scenarios, thaw driven by SLR exceeds warming-driven thaw when normalized to the influenced surface area. Results highlight an overlooked feedback mechanism between SLR and permafrost thaw with potential implications for coastal infrastructure, ocean-aquifer interactions, and carbon mobilization. © 2021. The Authors.",2021,,Geophys. Res. Lett.,48,19,,,10.1029/2021GL094776,,#15197,Guimond 2021,,
12,Sustainable management of two-directional lateral and upconing saltwater intrusion in coastline aquifers to alleviate water scarcity,"Abd-Elaty, I.; Kuriqi, A.; Bhat, S.A.; Zelenakova, M.","Lateral saltwater intrusion (LSWI) and vertical saltwater intrusion (VSWI) are the major problems in coastal aquifers. Coastal aquifers are subjected to natural and artificial changes, including sea-level rise, decreasing inland recharge, and overexploitation of production wells' water resources. Therefore, this study investigates the influence of changing the coastal aquifers boundary conditions considering climate changes' effect. Parameters describing the upward saline well parameters based on the abstraction conditions, also, the top layer properties were studied based on the erosion and sediments, irrigation, and drainage conditions. For this purpose, the SEAWAT model was employed to simulate lateral SWI based on Henry's problem principle. The sensitivity analysis of the mentioned parameters was accomplished considering as a case study the Biscayne aquifer in the Cutler Ridge area near Deering Estate, Florida, USA, where the LSWI and VSWI were also investigated. The results indicate that the boundary conditions, abstraction well parameters, and top layer cost significantly impact aquifer LSWI and water upconing. The simulation results of the Biscayne aquifer for a saline water head of 84.86 cm for 2060 indicate a decrease in freshwater recharge by 30% and increasing the saltwater concentration by 14.30%. At the same time, the LSWI increased by 3.30%, 22.80%, and 8.70%, while the relative upconing heights reached 0.63, 0.60, and 0.47 compared with 0.42 for the current situation. Increasing the upward saline abstraction well discharge rates by 50% increases the LSWI by 9.40%. In contrast, increasing the depth by 10%; decreases the distance by 30%, the screen length by 30%, the LSWI decreased by 1.80%, 25.10%, and 1.30%, respectively. At the same time, the relative VSWI height reached 0.60, 0.39, 0.48, and 0.40, respectively. Moreover, decreasing the top layer hydraulic conductivity by 25% and increasing the aquitards layer depths by 200% decreased the LSWI by 4.90% and 7.80%, respectively. At the same time, the relative VSWI height reached 0.34 and 0.30, respectively. In addition, the saline water heads, a freshwater recharge should be controlled to manage SWI; the upward well should be utilized at a low abstraction rate, far from the seaside, and with minimum screen length. The agriculture activity for decreasing the soil permeability for the top layer must be extended for better management of the SWI. The solution-oriented findings resulting from this study might be useful for decision-makers and engineers to develop effective management measures to tackle the SWI issue in coastal aquifers. © 2022 John Wiley & Sons Ltd.",2022,,Hydrol. Processes,36,9,,,10.1002/hyp.14646,,#15201,Abd-Elaty 2022,,
14,Detecting Coastal Wetland Degradation by Combining Remote Sensing and Hydrologic Modeling,"He, K.; Zhang, Y.; Li, W.; Sun, G.; McNulty, S.","Sea-level rise and climate change stresses pose increasing threats to coastal wetlands that are vital to wildlife habitats, carbon sequestration, water supply, and other ecosystem services with global significance. However, existing studies are limited in individual sites, and large-scale mapping of coastal wetland degradation patterns over a long period is rare. Our study developed a new framework to detect spatial and temporal patterns of coastal wetland degradation by analyzing fine-scale, long-term remotely sensed Normalized Difference Vegetation Index (NDVI) data. Then, this framework was tested to track the degradation of coastal wetlands at the Alligator River National Wildlife Refuge (ARNWR) in North Carolina, United States, during the period from 1995 to 2019. We identified six types of coastal wetland degradation in the study area. Most of the detected degradation was located within 2 km from the shoreline and occurred in the past five years. Further, we used a state-of-the-art coastal hydrologic model, PIHM-Wetland, to investigate key hydrologic processes/variables that control the coastal wetland degradation. The temporal and spatial distributions of simulated coastal flooding and saltwater intrusion confirmed the location and timing of wetland degradation detected by remote sensing. The combined method also quantified the possible critical thresholds of water tables for wetland degradation. The remote sensing–hydrologic model integrated scheme proposed in this study provides a new tool for detecting and understanding coastal wetland degradation mechanisms. Our study approach can also be extended to other coastal wetland regions to understand how climate change and sea-level rise impact wetland transformations. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022,,Forests,13,3,,,10.3390/f13030411,,#15204,He 2022,,
15,Effects of saltwater intrusion and sea level rise on aging and corrosion rates of iron pipes in water distribution and wastewater collection systems in coastal areas,"Tansel, B.; Zhang, K.","Failure of water distribution and wastewater collection pipes can impact human health and environment due to potential contamination of water and soil in the surrounding areas, as well as service interruptions and road closures. This paper provides a quantitative assessment of projected shifts in failure rates of iron pipes due to saltwater intrusion and sea level rise in coastal areas. Probability of pipe failure depends on pipe characteristics, environmental parameters, and systems conditions. Analyses showed that saltwater intrusion and sea level rise can significantly affect the integrity of water and wastewater collection pipes due to potential changes in soil and groundwater characteristics that increase corrosion rates. Corrosion rate is intensified by increased conductivity of groundwater due to salinity. Coastal areas with subtropical climate have higher corrosion rates. The estimated lifetimes of ductile iron pipes are between 80 and 100 years. However, the actual service lifetimes can be significantly shorter. Pipes in subtropical areas corrode significantly faster than those in temperate climates. Presence of dissolved oxygen and chloride ion can significantly intensify the corrosion rates, shortening service times of iron pipes. Projections for pipe corrosion can help development of effective asset management strategies and for infrastructure maintenance planning in coastal areas that are vulnerable to sea level rise. © 2022 Elsevier Ltd",2022,,J. Environ. Manage.,315,,,,10.1016/j.jenvman.2022.115153,,#15205,Tansel 2022,,
17,Coastal adaptation to climate change and sea-level rise,"Griggs, G.; Reguero, B.G.","The Earth’s climate is changing; ice sheets and glaciers are melting and coastal hazards and sea level are rising in response. With a total population of over 300 million people situated on coasts, including 20 of the planet’s 33 megacities (over 10 million people), low-lying coastal areas represent one of the most vulnerable areas to the impacts of climate change. Many of the largest cities along the Atlantic coast of the U.S. are already experiencing frequent high tide flooding, and these events will increase in frequency, depth, duration and extent as sea levels continue to rise at an accelerating rate throughout the 21st century and beyond. Cities in southeast Asia and islands in the Indo-Pacific and Caribbean are also suffering the effects of extreme weather events combined with other factors that increase coastal risk. While short-term extreme events such as hurricanes, El Niños and severe storms come and go and will be more damaging in the short term, sea-level rise is a long-term permanent change of state. However, the effects of sea-level rise are compounded with other hazards, such as increased wave action or a loss of ecosystems. As sea-level rise could lead to the displacement of hundreds of millions of people, this may be one of the greatest challenges that human civilization has ever faced, with associated inundation of major cities, loss of coastal infrastructure, increased saltwater intrusion and damage to coastal aquifers among many other global impacts, as well as geopolitical and legal implications. While there are several short-term responses or adaptation options, we need to begin to think longer term for both public infrastructure and private development. This article provides an overview of the status on adaptation to climate change in coastal zones. © 2021 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https:// creativecommons.org/licenses/by/ 4.0/).",2021,,Water,13,16,,,10.3390/w13162151,,#15208,Griggs 2021,,
18,New systematically measured sand mining budget for the Mekong Delta reveals rising trends and significant volume underestimations,"Gruel, C.-R.; Park, E.; Switzer, A.D.; Kumar, S.; Loc Ho, H.; Kantoush, S.; Van Binh, D.; Feng, L.","The river beds of the Mekong Delta are some of the most intensively sand mined places in the world. However, sand mining budgets remain limited to rough and indirect estimates. Here, we provide a first systematic, field-based estimation of the Mekong Delta's sand mining budget. This budget overcomes the limitations of relying on officially declared statistics and bathymetric surveys of short channel reaches. We applied Sentinel-1 radar imagery to monitor the distribution of sand mining activities using boat metrics-driven mining intensity maps correlated with a field-based bathymetry difference map which were derived from two extensive bathymetric surveys conducted in 2014 and 2017. The two surveys cover ∼ 100 km in the Tiền River, reaching approximately 15% of the Mekong Delta. We then extrapolated the Tiền River findings to the broader Vietnamese Mekong Delta from 2015 to 2020 and measured a continuous increase of the extraction budget by ∼ 25% between 2015 (38 Mm3/yr) and 2020 (47 Mm3/yr). We estimated a total sand mining budget of 254 Mm3 during the 6-year study period with an average annual rate of ∼ 42 Mm3. Our field-based annual rates are higher than both official declarations provided and estimates from previous studies which implies that a substantial portion of the sand mining budget remains unaccounted for. Riverbed sand mining remains a key threat to the Mekong Delta as it contributes to a multitude of other environmental threats including dam construction effects on sedimentation, ongoing subsidence, sea level rise and recurring saltwater intrusion. This study offers a new approach that can be implemented elsewhere to allow for systematic monitoring and quantification of sand mining activities that are vital for assessing future projections on environmental impacts. © 2022 The Author(s)",2022,,Int. J. Appl. Earth Obs. Geoinformation,108,,,,10.1016/j.jag.2022.102736,,#15210,Gruel 2022,,
19,Groundwater Rise and Associated Flooding in Coastal Settlements Due To Sea-Level Rise: A Review of Processes and Methods,"Bosserelle, A.L.; Morgan, L.K.; Hughes, M.W.","Coastal settlements are experiencing the effects of climate change-induced sea-level rise, including a significant but often poorly-characterized impact on groundwater. The shallow water tables present in the built coastal environment contribute to an increased risk from natural hazards such as groundwater flooding and saltwater intrusion. Historical urban development was accompanied by impacts on shallow groundwater, and in the future subsurface environments, including underground infrastructure, will face additional pressure. This article reviews processes of the coastal groundwater zone and simulation tools used to evaluate possible impacts of sea-level rise. The benefits and limitations of the two main methods to assess coastal groundwater rise and contribution to flooding are discussed using studies and investigations up to 2021. The review addresses challenges associated with the simulation tools to evaluate changes in urban hydrogeology due to sea-level rise. The models reviewed do not specifically estimate groundwater contribution to land-surface flooding. We highlight a critical need for methodology comparisons between spatial interpolation and numerical tools that will guide future work. An adequate validation of assessment methods is required and will be supported by improved coastal groundwater monitoring networks focused on water quality, saltwater intrusion, and continuous groundwater levels records. From current monitoring practices, evidence for groundwater rise with rising sea level is not widely observed at present. New monitoring sites are recommended near the coastline and tidally influenced surface water bodies, to better evaluate the rise of the water table and impacts on infrastructure. © 2022 The Authors. Earth's Future published by Wiley Periodicals LLC on behalf of American Geophysical Union.",2022,,Earth's Futur.,10,7,,,10.1029/2021EF002580,,#15211,Bosserelle 2022,,
