Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,DOI_Link,location1,location2,location3,location4,location5
Rapid deforestation of a coastal landscape driven by sea level rise andextreme events,"Ury, Emily A; Yang, Xi; Wright, Justin P; Bernhardt, Emily S","Climate change is driving ecological shifts in coastal regions of theworld, where low topographic relief makes ecosystems particularlyvulnerable to sea level rise, salinization, storm surge, and other effectsof global climate change. The consequences of rising water tables andsalinity can penetrate well inland, and lead to particularly dramaticchanges in freshwater forested wetlands dominated by tree species with lowsalt tolerance. The resulting loss of coastal forests could havesignificant implications to the coastal carbon cycle. We quantified therates of vegetation change including land loss, forest loss and shrublandexpansion in North Carolina's largest coastal wildlife refuge over 35years. Despite its protected status, and in the absence of any activeforest management, 32 % (31,600 hectares) of the refuge area has changedlandcover classification during the study period. A total of 1151 hectaresof land was lost to the sea and ~19,300 hectares of coastal forest habitatwas converted to shrubland or marsh habitat. As much as 11 % of allforested cover in the refuge transitioned to a unique land cover type -'ghost forest' - characterized by standing dead trees and fallen treetrunks. The formation of this 'ghost forest' transition state peakedprominently between 2011 and 2012, following Hurricane Irene and afive-year drought, with 4,500 ± 990 hectares of ghost forest formingduring that year alone. This is the first attempt to map and quantitycoastal ghost forests using remote sensing. Forest losses were greatest inthe eastern portion of the refuge closest to the Croatan and PamlicoSounds, but also occurred much further inland in low elevation areas andalongside major canals. These unprecedented rates of deforestation andland cover change due to climate change may become the status quo forcoastal regions worldwide, with implications for wetland function,wildlife habitat and global carbon cycling.",2021,,Ecol. Appl.,,,e2339,,10.1002/eap.2339,,#1,Ury 2021,,,https://doi.org/10.1002/eap.2339,North Carolina's,,,,
Estuaries of the Northeastern United States: Habitat and Land UseSignatures,"Roman, Charles T; Jaworski, Norbert; Short, Frederick T; Findlay, Stuart; Warren, R Scott","Geographic signatures are physical, chemical, biotic, and human-inducedcharacteristics or processes that help define similar or unique featuresof estuaries along latitudinal or geographic gradients.Geomorphologically, estuaries of the northeastern U.S., from the HudsonRiver estuary and northward along the Gulf of Maine shoreline, are highlydiverse because of a complex bedrock geology and glacial history.Back-barrier estuaries and lagoons occur within the northeast region, butthe domiant type is the drowned-river valley, often with rocky shores.Tidal range and mean depth of northeast estuaries are generally greaterwhen compared to estuaries of the more southern U.S. Atlantic coast andGulf of Mexico. Because of small estuarine drainage basins, low riverineflows, a bedrock substrate, and dense forest cover, sediment loads innortheast estuaries are generally quite low and water clarity is high.Tidal marshes, seagrass meadows, intertidal mudflats, and rocky shoresrepresent major habitat types that fringe northeast estuaries, supportingcommercially-important fauna, forage nekton and benthos, and coastal birdcommunities, while also serving as links between deeper estuarine watersand habitats through detritus-based pathways. Regarding land use and waterquality trends, portions of the northeast have a history of over a centuryof intense urbanization as reflected in increased total nitrogen and totalphosphorus loadings to estuaries, with wastewater treatment facilities andatmospheric deposition being major sources. Agricultural inputs arerelatively minor throughout the northeast, with relative importanceincreasing for coastal plain estuaries. Identifying geographic signaturesprovides an objective means for comparing the structure, function, andprocesses of estuaries along latitudinal gradients.",2000,,,23,,,,,,#6,Roman 2000,,,https://doi.org/nan,U.S.,Mexico,,,
Sea Level Rise and the Dynamics of the Marsh-Upland Boundary,"Fagherazzi, Sergio; Anisfeld, Shimon C; Blum, Linda K; Long, Emily V; Feagin, Rusty A; Fernandes, Arnold; Kearney, William S; Williams, Kimberlyn","During sea level rise, salt marshes transgress inland invading low-lyingforests, agricultural fields, and suburban areas. This transgression is acomplex process regulated by infrequent storms that flood uplandecosystems increasing soil salinity. As a result upland vegetation isreplaced by halophyte marsh plants. Here we present a review of the mainprocesses and feedbacks regulating the transition from upland ecosystemsto salt marshes. The goal is to provide a process-based framework thatenables the development of quantitative models for the dynamics of themarsh-upland boundary. Particular emphasis is given to the concept ofecological ratchet, combining the press disturbance of sea level rise withthe pulse disturbance of storms.",2019,,Front. Environ. Sci. Eng. China,7,,25,,10.3389/fenvs.2019.00025,,#8,Fagherazzi 2019,,,https://doi.org/10.3389/fenvs.2019.00025,,,,,
"Salt Marsh Mosquito-Control Ditches: Sedimentation, Landscape Change, andRestoration Implications","Corman, Sarah S; Roman, Charles T; King, John W; Appleby, Peter G","Mosquito ditches are a prolific physical feature of Atlantic coast saltmarshes, dug most intensely since the 1930s to control the breeding ofsalt marsh mosquitoes. Removal of ditches by filling or other methods isunder consideration as a restoration alternative at a Fire Island, NewYork, salt marsh. This study evaluated sediment dynamics and marshlandscape structure of the ditched marsh, thereby providing information tobetter support efforts to predict marsh responses to restorationalternatives. Field surveys, historic and recent aerial photographyanalysis, and radiometric dating techniques were used. The estimatedaverage natural sedimentation rate within the ditches was 0.52 cm y -1 , arate greater than the accretion rate of the adjacent marsh surface. Theaverage time for a Fire Island ditch to naturally fill would be 175 yearsfrom present, but spatially this is highly variable, with some ditchescompletely filled and others showing no evidence of natural filling.Active filling of ditches may be a feasible restoration alternative,pending the findings of pilot studies, but given concerns for marshsubmergence with accelerated rates of sea level rise, restoration designshould provide a hydrologic network to facilitate adequate marsh drainage.\textcopyright 2012 Coastal Education & Research Foundation.",2012,,J. Coast. Res.,28,4,874,,10.2112/jcoastres-d-11-00012.1,,#11,Corman 2012,,,https://doi.org/10.2112/jcoastres-d-11-00012.1,Mosquito,NewYork,,,
The rising tide: assessing the risks of climate change and humansettlements in low elevation coastal zones,"McGranahan, Gordon; Balk, Deborah; Anderson, Bridget",,2007,,Environment and Urbanization,19,1,17-37,,10.1177/0956247807076960,,#15,McGranahan 2007,,,https://doi.org/10.1177/0956247807076960,,,,,
Uncovering climate (in)justice with an adaptive capacity assessment: Amultiple case study in rural coastal North Carolina,"Jurjonas, Matthew; Seekamp, Erin; Rivers, Louie; Cutts, Bethany","Climate change resilience is an area of praxis where efforts to enhancecommunity adaptive capacity are informed by theory. However, there isgrowing evidence that ethnocentrism and privilege are shaping coastalmanagement policies while many communities with climate justice issuesstruggle to build resilience. Particularly, rural coastal communities,contrasting urban areas, have limited access to centralized planningefforts, unique local contexts for outreach, compounding socialvulnerabilities (job loss, out-migration, limited social services), andreceive less attention from resilience researchers. Following calls tointegrate climate justice into resilience praxis, we assess perceptions ofadaptive capacity within predominately African American communities in arural low-lying coastal region in eastern North Carolina. We add a climatejustice lens to evaluate the previously-validated Rural Coastal CommunityResilience (RCCR) framework. The RCCR is intended to improve planningefforts by providing climate change information, initiating conversations,and contributing to resilience theory. In contrast to its previousapplications, engagement led to declines in perceived adaptive capacity.This result highlights that the information sharing goals of theengagement efforts were poorly aligned with community concerns and threatperceptions. Additionally, perceived climate injustices emerged revealinginstances of adaptation oppression. This study recommends strategies torethink traditional extension efforts to improve inclusiveness by deeplyinterrogating the inherent whiteness of standard modes of communicatingclimate science.",2020,,Land use policy,94,,104547,,10.1016/j.landusepol.2020.104547,,#17,Jurjonas 2020,,,https://doi.org/10.1016/j.landusepol.2020.104547,North Carolina,,,,
Can Saltwater Intrusion Accelerate Nutrient Export from Freshwater WetlandSoils? An Experimental Approach,"Steinmuller, Havalend E; Chambers, Lisa G","\textcopyright Soil Science Society of America, 5585 Guilford Rd., MadisonWI 53711 USA. All Rights reserved. Coastal wetlands are vulnerable tosaltwater intrusion, which may alter soil biogeochemical processes, leadto the export of nutrients into the coastal zone, and contribute toeutrophication. Using intact soil cores from three different freshwaterwetlands and subjecting them to control (0), 5, or 15 parts per thousand(ppt) seawater treatments, we investigated how different wetland soils(bayhead swamp, cypress dome, and mineral marsh) and salinities alter theexport of soil nutrients [soluble reactive P (SRP), NH 4 +, and dissolvedorganic C (DOC)], as well as microbial biomass C and greenhouse gasemissions. The highest salinity treatment increased CO 2 production by 30%with no change in methane production. Porewater NH 4 + concentrationsaveraged 8× higher than the control in the 15-ppt treatment and 5× greaterthan the control in the 5-ppt treatment, with a \ 1-wk lag period betweenporewater accumulation of NH 4 + and export into the surrounding water.The magnitude of NH 4 + export was mediated by wetland soil type. Solublereactive P concentrations averaged 8× and 3.5× higher in the cypress domeand bayhead swamp 15-ppt treatments respectively than in their controls,though no effect was observed within the mineral marsh. Dissolved organicC concentrations differed by wetland soil type but were unaffected bysalinity treatment. This study demonstrates that saltwater intrusion couldcatalyze the rapid export of nutrients from freshwater wetland soils intothe coastal zone, though nutrient export varies by wetland soil type.",2018,,Soil Sci. Soc. Am. J.,82,1,283,,10.2136/sssaj2017.05.0162,,#21,Steinmuller 2018,,,https://doi.org/10.2136/sssaj2017.05.0162,,,,,
Present and future sea level rise at the intersection of race and povertyin the Carolinas: A geospatial analysis,"Handwerger, Leah R; Sugg, Margaret M; Runkle, Jennifer D","Sea level rise (SLR) has and will continue to impact coastal communitiesin the coming decades. Despite the widespread availability of data on SLRprojections, little is known about the differential impact of SLR onminority or economically disadvantaged populations. In this study, we aimto identify the geographic areas in which low-income and communities ofcolor along the North and South Carolina coastline in the United Stateswill experience the most severe effects of SLR. Geospatial mapping wasperformed to estimate the total area impacted by 1) SLR, 2) tidalinundation, and 3) low-lying areas separately for three scenarios (0-, 2-,and 4-feet). Findings project that over 2.2 million people and at least370,000 Black or economically disadvantaged individuals will be impactedby SLR by 2100. Results showed that the most economically deprived andracially segregated communities are already experiencing the effects ofSLR, including more frequent tidal inundation and low-lying flooding.Inland flooding is seven times more likely to occur in low-income Blackcommunities compared to high-income white communities. Findings highlightthe urgent need for additional resources and adaptive measures that targetlow-income, black communities who will continue to be disproportionatelyimpacted by SLR in coastal Carolina.",2021,,The Journal of Climate Change and Health,3,,100028,,10.1016/j.joclim.2021.100028,,#27,Handwerger 2021,,,https://doi.org/10.1016/j.joclim.2021.100028,South Carolina,United Stateswill,Carolina,,
Potential increase in coastal wetland vulnerability to sea-level risesuggested by considering hydrodynamic attenuation effects,"Rodríguez, José F; Saco, Patricia M; Sandi, Steven; Saintilan, Neil; Riccardi, Gerardo","The future of coastal wetlands and their ecological value depend on theircapacity to adapt to the interacting effects of human impacts andsea-level rise. Even though extensive wetland loss due to submergence is apossible scenario, its magnitude is highly uncertain due to limitedunderstanding of hydrodynamic and bio-geomorphic interactions over time.In particular, the effect of man-made drainage modifications onhydrodynamic attenuation and consequent wetland evolution is poorlyunderstood. Predictions are further complicated by the presence of anumber of vegetation types that change over time and also contribute toflow attenuation. Here, we show that flow attenuation affects wetlandvegetation by modifying its wetting-drying regime and inundation depth,increasing its vulnerability to sea-level rise. Our simulations for anAustralian subtropical wetland predict much faster wetland loss thancommonly used models that do not consider flow attenuation.",2017,,Nat. Commun.,8,May,,,10.1038/ncomms16094,,#28,Rodríguez 2017,,,https://doi.org/10.1038/ncomms16094,,,,,
Model of Marsh Erosion and Migration,"Kirwan, Matthew L; Walters, David C; Reay, William G; Carr, Joel A","Coastal wetlands are among the most valuable ecosystems on Earth, whereecosystem services such as flood protection depend nonlinearly on wetlandsize and are threatened by sea level rise and coastal development. Here,we propose a simple model of marsh migration into adjacent uplands, andcouple it with existing models of seaward edge erosion and vertical soilaccretion to explore how ecosystem connectivity influences marsh size andresponse to sea level rise. We find that marsh loss is nearly inevitablewhere topographic and anthropogenic barriers limit migration. Whereunconstrained by barriers, however, rates of marsh migration are much moresensitive to accelerated sea level rise than rates of edge erosion. Thisbehavior suggests a counterintuitive, natural tendency for marsh expansionwith sea level rise, and emphasizes the disparity between coastal responseto climate change with and without human intervention.",2016,,Geophys. Res. Lett.,43,9,4366-4373,,10.1002/2016GL068507.Received,,#35,Kirwan 2016,,,https://doi.org/10.1002/2016GL068507.Received,,,,,
