doi,state,Latitude,Longitude
10.1371/journal.pone.0216540,North Carolina,35.6729639,-79.0392919
0.1007/s10533-021-00797-5,North Carolina,35.6729639,-79.0392919
10.1890/0012-9658,	Florida,27.7567667,-81.4639835
10.1007/s10533-016-0189-5,North Carolina,35.6729639,-79.0392919
,Louisiana,30.8703881,-92.007126
10.1007/s10021-018-0325-2,North Carolina,35.6729639,-79.0392919
,Georgia,32.3293809,-83.1137366
10.1016/j.ocecoaman.2017.09.010,New Jersey,40.0757384,-74.4041622
10.5194/bg-10-8171-2013,South Carolina,33.6874388,-80.4363743
10.1093/aob/mcz039,North Carolina,35.6729639,-79.0392919
10.1016/j.biocon.2016.07.035,Connecticut,41.6500201,-72.7342163
10.1007/s11069-019-03706-0,North Carolina,35.6729639,-79.0392919
10.1111/1365-2664.13169,Texas,31.2638905,-98.5456116
10.1016/j.envexpbot.2020.104254,Maryland,39.5162401,-76.9382069
10.1007/s10533-014-9986-x,North Carolina,35.6729639,-79.0392919
10.2112/04-0211.1,Maryland,39.5162401,-76.9382069
10.1007/s10021-021-00686-w,Massachusetts,42.3788774,-72.032366
10.2136/sssaj2011.0026,Michigan,43.6211955,-84.6824346
