10.1016/j.jhydrol.2021.126158,Column2
10.1007/978-3-319-09408-3_9,https://sci-hub.ru/10.1007/978-3-319-09408-3_9
10.1016/j.ejrh.2021.100842,https://sci-hub.ru/10.1016/j.ejrh.2021.100842
10.3390/w13121677,https://sci-hub.ru/10.3390/w13121677
10.1007/s11270-015-2373-y,https://sci-hub.ru/10.1007/s11270-015-2373-y
10.1017/9781316585269.026,https://sci-hub.ru/10.1017/9781316585269.026
10.1016/j.jappgeo.2015.02.003,https://sci-hub.ru/10.1016/j.jappgeo.2015.02.003
10.3390/plants9111580,https://sci-hub.ru/10.3390/plants9111580
10.1016/0022-1694(93)90127-U,https://sci-hub.ru/10.1016/0022-1694(93)90127-U
10.1016/j.catena.2020.104461,https://sci-hub.ru/10.1016/j.catena.2020.104461
10.1080/10220119.1995.9647873,https://sci-hub.ru/10.1080/10220119.1995.9647873
10.1007/BF02913341,https://sci-hub.ru/10.1007/BF02913341
10.1016/j.scitotenv.2014.11.098,https://sci-hub.ru/10.1016/j.scitotenv.2014.11.098
10.1117/12.873236,https://sci-hub.ru/10.1117/12.873236
10.1080/07900627.2016.1202099,https://sci-hub.ru/10.1080/07900627.2016.1202099
10.1016/B978-0-12-801535-3.00009-7,https://sci-hub.ru/10.1016/B978-0-12-801535-3.00009-7
10.1071/BT9910431,https://sci-hub.ru/10.1071/BT9910431
10.1109/ICISCT50599.2020.9351467,https://sci-hub.ru/10.1109/ICISCT50599.2020.9351467
10.1016/S0016-7061(02)00226-4,https://sci-hub.ru/10.1016/S0016-7061(02)00226-4
10.2136/sssaj2011.0026,https://sci-hub.ru/10.2136/sssaj2011.0026
10.1890/14-0239.1,https://sci-hub.ru/10.1890/14-0239.1
10.1016/j.scitotenv.2020.138803,https://sci-hub.ru/10.1016/j.scitotenv.2020.138803
10.1016/j.scitotenv.2020.141244,https://sci-hub.ru/10.1016/j.scitotenv.2020.141244
10.1016/0341-8162(88)90008-2,https://sci-hub.ru/10.1016/0341-8162(88)90008-2
10.3390/f12030270,https://sci-hub.ru/10.3390/f12030270
10.2112/04-0211.1,https://sci-hub.ru/10.2112/04-0211.1
10.2753/pet1061-1991200469,https://sci-hub.ru/10.2753/pet1061-1991200469
10.2136/sssaj1996.03615995006000050035x,https://sci-hub.ru/10.2136/sssaj1996.03615995006000050035x
10.1016/j.ecss.2011.07.012,https://sci-hub.ru/10.1016/j.ecss.2011.07.012
10.1016/j.jaridenv.2012.04.011,https://sci-hub.ru/10.1016/j.jaridenv.2012.04.011
10.1134/S2079096116020037,https://sci-hub.ru/10.1134/S2079096116020037
10.1016/j.envsci.2011.02.008,https://sci-hub.ru/10.1016/j.envsci.2011.02.008
10.1029/2005JG000071,https://sci-hub.ru/10.1029/2005JG000071
10.1071/SR13179,https://sci-hub.ru/10.1071/SR13179
10.1007/978-3-030-34397-2_4,https://sci-hub.ru/10.1007/978-3-030-34397-2_4
10.3390/su11092578,https://sci-hub.ru/10.3390/su11092578
10.1016/j.gloplacha.2012.03.008,https://sci-hub.ru/10.1016/j.gloplacha.2012.03.008
10.1007/s13157-014-0534-1,https://sci-hub.ru/10.1007/s13157-014-0534-1
"SEA-LEVEL RISE AND COASTAL FOREST RETREAT ON THE WEST COAST OF FLORIDA, USA","https://sci-hub.ru/SEA-LEVEL RISE AND COASTAL FOREST RETREAT ON THE WEST COAST OF FLORIDA, USA"
10.1007/s10533-014-9986-x,https://sci-hub.ru/10.1007/s10533-014-9986-x
10.1007/978-3-319-75088-0_10,https://sci-hub.ru/10.1007/978-3-319-75088-0_10
10.1016/S0166-2481(04)80005-9,https://sci-hub.ru/10.1016/S0166-2481(04)80005-9
10.1073/pnas.1018527108,https://sci-hub.ru/10.1073/pnas.1018527108
10.2112/JCOASTRES-D-10-00185.1,https://sci-hub.ru/10.2112/JCOASTRES-D-10-00185.1
10.1021/acs.jafc.9b02947,https://sci-hub.ru/10.1021/acs.jafc.9b02947
10.1007/698_2017_48,https://sci-hub.ru/10.1007/698_2017_48
10.1016/j.ocecoaman.2017.09.010,https://sci-hub.ru/10.1016/j.ocecoaman.2017.09.010
10.1016/j.quascirev.2015.02.004,https://sci-hub.ru/10.1016/j.quascirev.2015.02.004
10.1111/jvs.12774,https://sci-hub.ru/10.1111/jvs.12774
10.1029/2018JC014165,https://sci-hub.ru/10.1029/2018JC014165
10.1016/B978-0-12-813193-0.00007-2,https://sci-hub.ru/10.1016/B978-0-12-813193-0.00007-2
10.1016/0031-0182(91)90173-O,https://sci-hub.ru/10.1016/0031-0182(91)90173-O
10.1007/s12665-012-1525-2,https://sci-hub.ru/10.1007/s12665-012-1525-2
10.1016/j.geomorph.2007.12.020,https://sci-hub.ru/10.1016/j.geomorph.2007.12.020
10.1139/er-2013-0026,https://sci-hub.ru/10.1139/er-2013-0026
10.1016/j.agee.2010.05.003,https://sci-hub.ru/10.1016/j.agee.2010.05.003
10.1007/s11027-012-9381-7,https://sci-hub.ru/10.1007/s11027-012-9381-7
10.1007/978-94-017-9499-2_17,https://sci-hub.ru/10.1007/978-94-017-9499-2_17
10.1016/j.isprsjprs.2018.12.008,https://sci-hub.ru/10.1016/j.isprsjprs.2018.12.008
10.1007/s12665-013-2587-5,https://sci-hub.ru/10.1007/s12665-013-2587-5
10.1080/00139157.1990.9931055,https://sci-hub.ru/10.1080/00139157.1990.9931055
10.5194/hess-20-3027-2016,https://sci-hub.ru/10.5194/hess-20-3027-2016
10.1088/1755-1315/663/1/012026,https://sci-hub.ru/10.1088/1755-1315/663/1/012026
10.1007/s100400050026,https://sci-hub.ru/10.1007/s100400050026
10.1007/s10452-013-9442-3,https://sci-hub.ru/10.1007/s10452-013-9442-3
10.1016/j.jenvman.2019.03.101,https://sci-hub.ru/10.1016/j.jenvman.2019.03.101
10.1039/c4em00683f,https://sci-hub.ru/10.1039/c4em00683f
10.1672/08-77.1,https://sci-hub.ru/10.1672/08-77.1
10.1016/j.envexpbot.2020.104254,https://sci-hub.ru/10.1016/j.envexpbot.2020.104254
10.1111/gcb.12287,https://sci-hub.ru/10.1111/gcb.12287
10.1016/j.scitotenv.2015.01.056,https://sci-hub.ru/10.1016/j.scitotenv.2015.01.056
10.3390/ijms21010148,https://sci-hub.ru/10.3390/ijms21010148
10.2112/1551-5036(2004)020[0424/PIOSRF]2.0.CO;2,https://sci-hub.ru/10.2112/1551-5036(2004)020[0424/PIOSRF]2.0.CO;2
10.5670/oceanog.2011.34,https://sci-hub.ru/10.5670/oceanog.2011.34
10.1080/10106049.2020.1856197,https://sci-hub.ru/10.1080/10106049.2020.1856197
10.1016/j.jhydrol.2019.124438,https://sci-hub.ru/10.1016/j.jhydrol.2019.124438
10.1016/j.envsci.2012.10.010,https://sci-hub.ru/10.1016/j.envsci.2012.10.010
10.1088/1757-899X/896/1/012047,https://sci-hub.ru/10.1088/1757-899X/896/1/012047
10.1016/j.jhydrol.2012.06.005,https://sci-hub.ru/10.1016/j.jhydrol.2012.06.005
10.1080/00380768.2014.961030,https://sci-hub.ru/10.1080/00380768.2014.961030
10.1080/07352680802665305,https://sci-hub.ru/10.1080/07352680802665305
10.1097/00010694-198301000-00010,https://sci-hub.ru/10.1097/00010694-198301000-00010
10.1051/e3sconf/202016406021,https://sci-hub.ru/10.1051/e3sconf/202016406021
10.1088/1755-1315/272/2/022230,https://sci-hub.ru/10.1088/1755-1315/272/2/022230
10.3390/w11051003,https://sci-hub.ru/10.3390/w11051003
10.1007/s11270-012-1269-3,https://sci-hub.ru/10.1007/s11270-012-1269-3
10.1016/0921-8181(91)90118-G,https://sci-hub.ru/10.1016/0921-8181(91)90118-G
10.2118/176630-ms,https://sci-hub.ru/10.2118/176630-ms
10.1088/2515-7620/ab5e21,https://sci-hub.ru/10.1088/2515-7620/ab5e21
10.1016/j.biocon.2016.07.035,https://sci-hub.ru/10.1016/j.biocon.2016.07.035
10.1088/1748-9326/aa7146,https://sci-hub.ru/10.1088/1748-9326/aa7146
10.1007/s13762-020-02647-7,https://sci-hub.ru/10.1007/s13762-020-02647-7
10.1007/s10040-015-1330-6,https://sci-hub.ru/10.1007/s10040-015-1330-6
10.1007/978-94-007-6652-5_6,https://sci-hub.ru/10.1007/978-94-007-6652-5_6
10.1016/j.jplph.2006.05.017,https://sci-hub.ru/10.1016/j.jplph.2006.05.017
10.1038/s41598-018-29734-7,https://sci-hub.ru/10.1038/s41598-018-29734-7
10.1007/bf02905197,https://sci-hub.ru/10.1007/bf02905197
10.1007/s12237-014-9795-4,https://sci-hub.ru/10.1007/s12237-014-9795-4
10.1002/hyp.7444,https://sci-hub.ru/10.1002/hyp.7444
10.1016/j.geoderma.2016.10.030,https://sci-hub.ru/10.1016/j.geoderma.2016.10.030
10.1071/MF07147,https://sci-hub.ru/10.1071/MF07147
10.1016/0016-7061(76)90069-0,https://sci-hub.ru/10.1016/0016-7061(76)90069-0
10.4141/S98-055,https://sci-hub.ru/10.4141/S98-055
10.1016/j.scitotenv.2018.06.006,https://sci-hub.ru/10.1016/j.scitotenv.2018.06.006
10.3390/su13084476,https://sci-hub.ru/10.3390/su13084476
10.1016/j.scienta.2016.04.033,https://sci-hub.ru/10.1016/j.scienta.2016.04.033
10.1016/j.chemosphere.2015.03.094,https://sci-hub.ru/10.1016/j.chemosphere.2015.03.094
10.1007/s10661-017-6448-7,https://sci-hub.ru/10.1007/s10661-017-6448-7
10.1134/S0097807810030036,https://sci-hub.ru/10.1134/S0097807810030036
10.1029/2020EF001525,https://sci-hub.ru/10.1029/2020EF001525
