Paper Title,Scopus ID,DOI,URL,Lead Author,Affiliation,Author count,Area of Study,Publication,Cover Date,Number of citations,Col1,Col2,Col3,Col4,Col5,Col6,Col7
"Geoenvironmental assessment of the mut wastewater ponds in the Dakhla Oasis, Egypt",SCOPUS_ID:85098494635,10.1080/10106049.2020.1856197,https://api.elsevier.com/content/abstract/scopus_id/85098494635,Galal W.F.,Faculty of Science,2.0,"Geography, Planning and Development & Water Science and Technology",Geocarto International,2022-01-01,3.0,Egypt (7),Mut (4),El-Qalamun (4),Mut City (3),Taref (2),Dakhla (2),NE (2)
Ethical issues and legal principles regarding joint management of shared river basins in the context of climate change and water scarcity in the Iberian Peninsula,SCOPUS_ID:85151929682,10.1007/s42990-021-00060-x,https://api.elsevier.com/content/abstract/scopus_id/85151929682,Aragão A.,"Universidade de Coimbra, Faculdade de Direito",1.0,Earth and Planetary Sciences (all),Mediterranean Geoscience Reviews,2021-09-01,0.0,States (16),Spain (9),Portugal (8),France (5),Brussels (3),Mediterranean (2),Uruguay (2)
"Methodology for mapping soil salinity and halophyte cover using remote sensing data in Kerkennah, Tunisia",SCOPUS_ID:85135208726,10.1007/s41207-021-00257-4,https://api.elsevier.com/content/abstract/scopus_id/85135208726,Kurbatova A.I.,Ecole Nationale d'Ingénieurs de Sfax,5.0,Environmental Science (all),Euro-Mediterranean Journal for Environmental Integration,2021-09-01,1.0,the Kerkennah Islands (9),Kerkennah (4),Tunisia (3),Moscow (2),the Kerkennah archipelago (2),Chergui (2),Russia (1)
Different processes affecting long-term Ravenna coastal drainage basins (Italy): implications for water management,SCOPUS_ID:85111937380,10.1007/s12665-021-09774-5,https://api.elsevier.com/content/abstract/scopus_id/85111937380,Soboyejo L.A.,Alma Mater Studiorum Università di Bologna,4.0,Global and Planetary Change & Environmental Chemistry & Water Science and Technology & Soil Science & Pollution & Geology & Earth-Surface Processes,Environmental Earth Sciences,2021-08-01,0.0,Italy (5),San Vitale (3),Adriatic Sea (2),Romagna (1),Nazarnia (1),Northern Italy (1),Carminati (1)
"Assessing salinization of coastal groundwater by tidal action: The tropical Wouri Estuary, Douala, Cameroon",SCOPUS_ID:85107405136,10.1016/j.ejrh.2021.100842,https://api.elsevier.com/content/abstract/scopus_id/85107405136,Ramatlapeng G.J.,Université de Yaoundé I,5.0,Water Science and Technology & Earth and Planetary Sciences (miscellaneous),Journal of Hydrology: Regional Studies,2021-08-01,5.0,′′ (21),Youpwe (14),Douala (13),Mirzavand (6),N (6),Shalem (4),Wouri (4)
Deltas in arid environments,SCOPUS_ID:85110251391,10.3390/w13121677,https://api.elsevier.com/content/abstract/scopus_id/85110251391,Day J.,East China Normal University,6.0,"Geography, Planning and Development & Biochemistry & Aquatic Science & Water Science and Technology",Water (Switzerland),2021-06-02,3.0,the Colorado River (13),Mexico (12),Colorado (7),the Gulf of California (7),Nile (6),Egypt (6),Indus (5)
Tidal creeks as hot-spots for hydrological exchange in a coastal landscape,SCOPUS_ID:85103109181,10.1016/j.jhydrol.2021.126158,https://api.elsevier.com/content/abstract/scopus_id/85103109181,Glaser C.,Universität Bayreuth,4.0,Water Science and Technology,Journal of Hydrology,2021-06-01,6.0,Germany (8),the Wadden Sea (4),Holt (2),Eq (2),Wadden (2),Salem (2),Radon (1)
How soil ion stress and type influence the flooding adaptive strategies of Phragmites australis and Bolboschoenus planiculmis in temperate saline–alkaline wetlands?,SCOPUS_ID:85100394999,10.1016/j.scitotenv.2020.144654,https://api.elsevier.com/content/abstract/scopus_id/85100394999,Ding Z.,Southwest University,6.0,Environmental Engineering & Environmental Chemistry & Waste Management and Disposal & Pollution,Science of the Total Environment,2021-06-01,7.0,China (8),Western Songnen Plain (3),s.e. (3),Chongqing 400715 (2),Japan (2),Phragmites (1),Chongqing 400714 (1)
Wetland biodiversity disturbance evaluation induced by a water conservancy project in the flooded plain of the huolin river lower reaches,SCOPUS_ID:85104955048,10.3390/su13084476,https://api.elsevier.com/content/abstract/scopus_id/85104955048,Zhai Y.,Jilin University,5.0,"Computer Science (miscellaneous) & Geography, Planning and Development & Renewable Energy, Sustainability and the Environment & Building and Construction & Environmental Science (miscellaneous) & Energy Engineering and Power Technology & Hardware and Architecture & Computer Networks and Communications & Management, Monitoring, Policy and Law",Sustainability (Switzerland),2021-04-02,5.0,the Huolin River (5),Huolin River (4),Da’an (4),China (2),The Huolin River (2),the Chagan Lake (2),Criteria (2)
Geobotanical indication of flooding and salinization of lands the Volga region and Western Kazakhstan,SCOPUS_ID:85101669152,10.1088/1755-1315/663/1/012026,https://api.elsevier.com/content/abstract/scopus_id/85101669152,Trofimov I.A.,Sh.Ualikhanov Kokshetau University,10.0,Environmental Science (all) & Earth and Planetary Sciences (all),IOP Conference Series: Earth and Environmental Science,2021-02-18,0.0,Earth (6),Volga (5),Western Kazakhstan (5),Kazakhstan (3),Russia (2),L S (1),Lobnya (1)
