DOI,Col1,Col2,Col3,Col4,Col5,Col6,Col7
10.2112/04-0211.1,Maryland (9),New York (7),Virginia (7),Florida (6),New Brunswick (4),KEARNEY (4),Copenheaver (3)
10.2136/sssaj2011.0026,NS (14),NaCl (6),Specifi (2),MD (2),"NS

 (2)",NS NS (2),Purvaja (2)
"SEA-LEVEL RISE AND COASTAL FOREST RETREAT ON THE WEST COAST OF FLORIDA, USA",the West Coast (1),Florida (1),San Bernardino (1),,,,
10.1007/s10533-014-9986-x,L-1 (10),Biogeochemistry (4),North Carolina (3),NC (2),Columbia (2),MD (2),N2O (1)
10.1029/2005JG000071,the Altamaha River (7),HS(cid:1 (4),N (4),Georgia (3),Canfield (3),Weston (2),Altamaha River (2)
10.1016/j.ocecoaman.2017.09.010,Smith (7),New Jersey (6),the Delaware Bay (4),Sebold (4),Delaware (3),Weishar (3),Warren (3)
10.1672/08-77.1,Louisiana (13),South Carolina (12),Georgia (10),Waccamaw (5),Waccamaw River (2),Winyah Bay (2),Savannah River (2)
10.1016/j.envexpbot.2020.104254,Sorghum (13),Maryland (7),Tester (7),Kielen (7),Tanji (6),MD (4),Qadir (3)
10.2112/1551-5036(2004)020[0424/PIOSRF]2.0.CO;2,cid:97)(cid:115 (20),cid:119)(cid:97)(cid:115 (11),cid:97)(cid:108)(cid:115)(cid:111 (8),cid:84)(cid:104)(cid:105)(cid:115 (5),cid:115)(cid:117)(cid:114)(cid:103)(cid:101)(cid:115 (3),cid:76)(cid:97)(cid:103)(cid:111)(cid:111)(cid:110)(cid:115 (3),France (2)
10.1016/j.biocon.2016.07.035,New England (9),Niering (8),Warren (8),C.R. (7),Connecticut (7),Smith (4),C.S. (4)
10.1023/A/1024531325281,Australia (3),the Murray River (3),the River Murray (2),Thorburn (2),Netherlands (1),New South Wales (1),Punkah Creek (1)
10.1007/s11069-019-03706-0,North Carolina (8),Bhattachan (3),North  Carolina (3),Haywood (2),Netherlands (2),the Albemarle Sound (2),ArcGIS (2)
10.1023/A/1006181204765,KC (10),cid:17)2 (5),Triticum (2),Netherlands (1),Assiut (1),Egypt (1),Sigma (1)
10.1007/s10533-016-0189-5,North Carolina (4),Biogeochemistry (4),the Albemarle Sound (4),NC (3),L-1 (3),Ardo´n (2),Ohio (2)
10.1061/(ASCE)0733-9437(2007)133/4(359),Basin (10),Universidad (7),Australia (6),the Murray River (3),New South Wales (2),Victoria (2),Wakool River (2)
10.1007/s10533-021-00797-5,North Carolina (4),Gull Rock (3),Swanquarter (3),Swanquar- (2),Palmetto Peartree Preserve (2),0.01b (2),Raleigh (1)
10.1007/s10021-021-00686-w,North Carolina (4),HUC (4),Louisiana (3),Gulf (2),Landsat (2),Akaike (2),Charlottesville (1)
10.1093/aob/mcz039,North Carolina (10),North  Carolina (7),North Carolina’s (3),NC (3),Battaglia (3),Coastal Plain (3),Liquidambar (3)
10.5194/bg-10-8171-2013,Weston (5),Bridgham (3),South Carolina (2),Richmond (2),Virginia (2),the Waccamaw River (2),Waccamaw River (2)
10.1371/journal.pone.0216540,North Carolina (7),Bird (2),the Albemarle Sound (1),the Croatan Sound (1),the Pamlico Sound (1),the Neuse River (1),Blue Grosbeak (1)
10.1111/1365-2664.13169,Florida (15),Louisiana (14),Mississippi (10),Texas (8),Gulf of Mexico (8),LA (8),Alabama (6)
