,DOI,Col1,Col2,Col3,Col4,Col5,Col6,Col7
0,10.1007/978-3-319-09408-3_9,Mogao (12),Japan (5),China (3),Osaka (2),Ito Misae (1),Toyonaka (1),Dunhuang city (1)
1,10.1017/9781316585269.026,Africa (3),London (2),Brazil (1),South Africa (1),West Africa (1),Uganda (1),China (1)
2,10.1016/0022-1694(93)90127-U,River (6),Australia (5),I.D. (5),Eldridge (1),Talsma (1),South (1),New  South  Wales (1)
3,10.1016/j.jappgeo.2015.02.003,Oman (8),El-Kaliouby (4),Muscat (2),Northern Oman (2),J.D. (2),Young (2),Egypt (1)
4,10.1016/j.catena.2020.104461,Guadalhorce River (12),the Guadalhorce River (12),Spain (7),the Mediterranean Sea (6),Europe (4),Southern Spain (2),Mediterranean (2)
5,10.1080/10220119.1995.9647873,Argentina (8),Deregibus (6),VA (4),Sala (3),Sanchez (3),Danthonia (2),Midland (2)
6,10.3390/w13121677,the Colorado River (13),Mexico (12),Colorado (7),the Gulf of California (7),Nile (6),Egypt (6),Indus (5)
7,10.1007/s11270-015-2373-y,Portugal (3),Oulu (1),Finland (1),Porto (1),Khodaverdiloo (1),Schofield (1),Yoshii (1)
8,10.3390/plants9111580,Russia (12),Boyarin (6),Flagman (3),Pi-ta (3),the Russian Federation (2),morphotype (2),Krasnodar (2)
9,10.1016/j.ejrh.2021.100842,′′ (21),Youpwe (14),Douala (13),Mirzavand (6),N (6),Shalem (4),Wouri (4)
10,10.1016/j.jhydrol.2021.126158,Germany (8),the Wadden Sea (4),Holt (2),Eq (2),Wadden (2),Salem (2),Radon (1)
11,10.1080/07900627.2016.1202099,India (7),Danda (5),Bangladesh (2),West Bengal (2),Mousuni Island (2),Haldia (2),Kolkata (2)
12,10.1117/12.873236,China (13),SPIE Vol (8),farmland (8),Hetao (5),Inner Mongolia (5),the Yellow River (5),Northern China (3)
13,10.1016/B978-0-12-801535-3.00009-7,China (3),Japan (3),Glycine (3),Cox and Jolliff (3),Arabidopsis (3),Korea (2),Australia (2)
14,10.1016/S0016-7061(02)00226-4,Senegal (5),West Africa (3),Lausanne (1),Switzerland (1),Ivory Coast (1),Puentes (1),Tuong (1)
15,10.1071/BT9910431,Australia (5),River (4),Overland (3),South (2),Values (2),IV (2),the River Murray Floodplain (1)
16,10.1890/14-0239.1,Canada (5),Arctic (5),Mackenzie Delta (5),The Mackenzie Delta (4),the Mackenzie Delta (3),Clarke (2),Arctic delta (1)
17,10.1016/j.scitotenv.2014.11.098,Brazil (34),Portugal (30),Rio de Janeiro (24),Estado (4),Singreh (3),Rio de Janeiro's (3),Europe (2)
